127.0.0.1 - - [12/Aug/2023:06:35:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:36:41 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4563
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:36:42 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:36:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:37:28 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4629
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:37:28 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:39:06 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:39:06 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:39:11 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:39:11 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:39:39 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4701
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:39:39 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:40:59 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:40:59 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:41:41 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:41:41 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:42:24 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:42:25 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:43:08 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:43:08 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:43:26 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4709
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:43:28 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:07 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4723
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:07 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:09 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4723
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:09 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:09 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4723
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:09 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:10 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4723
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:10 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:10 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4723
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:13 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:38 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4925
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:38 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:54 +0530] "GET /E-BookApp/allRecentBooks.jsp HTTP/1.1" 200 4709
0:0:0:0:0:0:0:1 - - [12/Aug/2023:06:44:54 +0530] "GET /E-BookApp/style.css HTTP/1.1" 404 774
